server_id,time_s,reason
19,80.03758,max_conn
3,80.05116,max_conn
9,80.06473,max_conn
9,80.06652,max_conn
8,80.18057,max_conn
14,80.18269,max_conn
20,80.19044,max_conn
14,80.19309,max_conn
4,80.24243,max_conn
4,80.24920,max_conn
11,80.30352,max_conn
13,80.39747,max_conn
13,80.40411,max_conn
3,80.41645,max_conn
19,80.44844,max_conn
20,80.49244,max_conn
12,80.51349,max_conn
11,80.60558,max_conn
3,80.68261,max_conn
11,80.68286,max_conn
5,80.75508,max_conn
5,80.76183,max_conn
5,80.76837,max_conn
5,80.79175,max_conn
5,80.79461,max_conn
20,80.79671,max_conn
18,80.86264,max_conn
18,80.97494,max_conn
10,81.02908,max_conn
10,81.04504,max_conn
17,81.04644,max_conn
19,81.08153,max_conn
19,81.08659,max_conn
5,81.08862,max_conn
19,81.08952,max_conn
20,81.09809,max_conn
20,81.10524,max_conn
19,81.10737,max_conn
19,81.11031,max_conn
17,81.12391,max_conn
5,81.12474,max_conn
20,81.13231,max_conn
20,81.13978,max_conn
20,81.17062,max_conn
20,81.17305,max_conn
11,81.19004,max_conn
5,81.20523,max_conn
12,81.26698,max_conn
12,81.26950,max_conn
12,81.29376,max_conn
12,81.29499,max_conn
13,81.29919,max_conn
4,81.29948,max_conn
16,81.32114,max_conn
16,81.33286,max_conn
19,81.37236,max_conn
5,81.39896,max_conn
19,81.40166,max_conn
5,81.40788,max_conn
19,81.41072,max_conn
19,81.41460,max_conn
17,81.42608,max_conn
5,81.46562,max_conn
3,81.48424,max_conn
3,81.49100,max_conn
3,81.50599,max_conn
3,81.50980,max_conn
11,81.52415,max_conn
7,81.57600,max_conn
15,81.59109,max_conn
9,81.66568,max_conn
11,81.68384,max_conn
11,81.69494,max_conn
5,81.70660,max_conn
19,81.71529,max_conn
5,81.71753,max_conn
9,81.72257,max_conn
9,81.72303,max_conn
5,81.72591,max_conn
19,81.73656,max_conn
20,81.74369,max_conn
20,81.74370,max_conn
20,81.75169,max_conn
20,81.77508,max_conn
20,81.77688,max_conn
5,81.81726,max_conn
5,81.81779,max_conn
5,81.82213,max_conn
19,81.83137,max_conn
4,81.83565,max_conn
4,81.85347,max_conn
4,81.85603,max_conn
4,81.85621,max_conn
19,81.86470,max_conn
15,81.95958,max_conn
15,82.02351,max_conn
15,82.02383,max_conn
17,82.15439,max_conn
12,82.21202,max_conn
17,82.23226,max_conn
19,82.23676,max_conn
12,82.24002,max_conn
19,82.26144,max_conn
19,82.26893,max_conn
19,82.27051,max_conn
19,82.27655,max_conn
9,82.32620,max_conn
9,82.37871,max_conn
11,82.45464,max_conn
11,82.46465,max_conn
11,82.47317,max_conn
11,82.47999,max_conn
16,82.49235,max_conn
11,82.49715,max_conn
16,82.51225,max_conn
3,82.51742,max_conn
3,82.52858,max_conn
16,82.53221,max_conn
20,82.58863,max_conn
20,82.58955,max_conn
20,82.60755,max_conn
20,82.60820,max_conn
20,82.62776,max_conn
19,82.65072,max_conn
11,82.76303,max_conn
11,82.76978,max_conn
12,82.85608,max_conn
20,82.86283,max_conn
12,82.86390,max_conn
9,82.91446,max_conn
20,82.94871,max_conn
13,83.00078,max_conn
13,83.00469,max_conn
7,83.04698,max_conn
7,83.06181,max_conn
20,83.12034,max_conn
20,83.12690,max_conn
11,83.17075,max_conn
11,83.18099,max_conn
19,83.18285,max_conn
19,83.19023,max_conn
19,83.19104,max_conn
15,83.19610,max_conn
15,83.20670,max_conn
19,83.22297,max_conn
3,83.23255,max_conn
9,83.29767,max_conn
18,83.30423,max_conn
18,83.32014,max_conn
18,83.32297,max_conn
20,83.34946,max_conn
11,83.42821,max_conn
11,83.45706,max_conn
11,83.47478,max_conn
8,83.55921,max_conn
13,83.61518,max_conn
13,83.62758,max_conn
12,83.83913,max_conn
12,83.84341,max_conn
11,83.86402,max_conn
10,83.95597,max_conn
4,83.97513,max_conn
4,83.97701,max_conn
9,84.03856,max_conn
9,84.04373,max_conn
11,84.06167,max_conn
11,84.06200,max_conn
9,84.08982,max_conn
20,84.10392,max_conn
4,84.23502,max_conn
4,84.23529,max_conn
4,84.24103,max_conn
4,84.24226,max_conn
18,84.26236,max_conn
5,84.26662,max_conn
5,84.36437,max_conn
20,84.36520,max_conn
11,84.36828,max_conn
14,84.40631,max_conn
14,84.40924,max_conn
17,84.46955,max_conn
17,84.50691,max_conn
17,84.50714,max_conn
17,84.50780,max_conn
17,84.51735,max_conn
17,84.52021,max_conn
17,84.52847,max_conn
9,84.56901,max_conn
4,84.57946,max_conn
4,84.58532,max_conn
19,84.58554,max_conn
4,84.65135,max_conn
6,84.75609,max_conn
9,84.85538,max_conn
4,84.88886,max_conn
4,84.89681,max_conn
4,84.90182,max_conn
12,84.95000,max_conn
12,84.95809,max_conn
5,84.97619,max_conn
5,85.02013,max_conn
5,85.02045,max_conn
5,85.02374,max_conn
12,85.02710,max_conn
5,85.03353,max_conn
9,85.09735,max_conn
17,85.10165,max_conn
16,85.18402,max_conn
16,85.18528,max_conn
15,85.27941,max_conn
15,85.28281,max_conn
3,85.28362,max_conn
17,85.28750,max_conn
3,85.32238,max_conn
3,85.32351,max_conn
3,85.37438,max_conn
3,85.37545,max_conn
12,85.43020,max_conn
12,85.44909,max_conn
6,85.47493,max_conn
6,85.55316,max_conn
17,85.68009,max_conn
19,85.72303,max_conn
14,85.73283,max_conn
14,85.73352,max_conn
5,85.74000,max_conn
5,85.74503,max_conn
14,85.74529,max_conn
14,85.74595,max_conn
5,85.77087,max_conn
11,85.77379,max_conn
5,85.78255,max_conn
7,85.92939,max_conn
7,85.93154,max_conn
7,85.93313,max_conn
17,85.96923,max_conn
17,85.97488,max_conn
17,85.98236,max_conn
20,86.01407,max_conn
4,86.06920,max_conn
15,86.08913,max_conn
5,86.11373,max_conn
19,86.15886,max_conn
9,86.18557,max_conn
9,86.19918,max_conn
9,86.26680,max_conn
9,86.27165,max_conn
9,86.30314,max_conn
8,86.33978,max_conn
4,86.35629,max_conn
5,86.36050,max_conn
4,86.36662,max_conn
4,86.36682,max_conn
11,86.37797,max_conn
20,86.39536,max_conn
20,86.40841,max_conn
20,86.41257,max_conn
20,86.41744,max_conn
20,86.42430,max_conn
11,86.42828,max_conn
11,86.47661,max_conn
9,86.53468,max_conn
9,86.53524,max_conn
9,86.54931,max_conn
19,86.56819,max_conn
19,86.57000,max_conn
19,86.57076,max_conn
19,86.57307,max_conn
7,86.57485,max_conn
3,86.58601,max_conn
19,86.61638,max_conn
8,86.67725,max_conn
8,86.69707,max_conn
12,86.69753,max_conn
8,86.70449,max_conn
8,86.70659,max_conn
20,86.71766,max_conn
1,86.78307,max_conn
1,86.80522,max_conn
1,86.80527,max_conn
1,86.81422,max_conn
5,86.83767,max_conn
5,86.83809,max_conn
20,86.95816,max_conn
20,87.00608,max_conn
20,87.01274,max_conn
5,87.18106,max_conn
5,87.18124,max_conn
5,87.18292,max_conn
10,87.21505,max_conn
20,87.22016,max_conn
20,87.22101,max_conn
5,87.26791,max_conn
5,87.27655,max_conn
5,87.28700,max_conn
1,87.32577,max_conn
1,87.32580,max_conn
1,87.32674,max_conn
4,87.34770,max_conn
4,87.34778,max_conn
4,87.35763,max_conn
4,87.36126,max_conn
4,87.36283,max_conn
11,87.39292,max_conn
15,87.40494,max_conn
15,87.41227,max_conn
11,87.44598,max_conn
11,87.45777,max_conn
11,87.45826,max_conn
11,87.47006,max_conn
13,87.48404,max_conn
16,87.49885,max_conn
16,87.50061,max_conn
5,87.52679,max_conn
19,87.52747,max_conn
19,87.53620,max_conn
5,87.58305,max_conn
19,87.58371,max_conn
17,87.58777,max_conn
17,87.59382,max_conn
3,87.62250,max_conn
5,87.62453,max_conn
3,87.63950,max_conn
3,87.64255,max_conn
3,87.64454,max_conn
3,87.65084,max_conn
3,87.65553,max_conn
7,87.67085,max_conn
11,87.72940,max_conn
7,87.76056,max_conn
1,87.83679,max_conn
11,87.84010,max_conn
11,87.84013,max_conn
11,87.84555,max_conn
15,87.87240,max_conn
19,87.89315,max_conn
12,87.89578,max_conn
15,87.90149,max_conn
19,87.90271,max_conn
19,87.92276,max_conn
19,87.93118,max_conn
5,87.96011,max_conn
5,87.96108,max_conn
